# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bern_1_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = /var/folders/fn/y98bp0qn4wggf910v31fp44c0000gp/T/tmpwehwblp5/cgt70msg.json
# init = 2 (Default)
# random
#   seed = 68769
# output
#   file = /Users/dominikwozniak/study/data_analytics/results/bern_1-20220305105506_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 v2.26.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.09977
# Diagonal elements of inverse mass matrix:
# 0.254165
-11.6437,1,1.09977,1,1,0,12.2805,0.700552
-11.0336,1,1.09977,1,3,0,11.4784,0.607975
-11.1256,0.991214,1.09977,2,3,0,11.1335,0.631605
-11.3868,0.929425,1.09977,1,1,0,11.3999,0.67277
-11.1861,1,1.09977,1,1,0,11.363,0.643267
-11.0334,1,1.09977,1,1,0,11.1456,0.607903
-11.0162,1,1.09977,2,3,0,11.0405,0.60186
-10.9713,0.920589,1.09977,2,3,0,11.4478,0.576405
-11.2556,0.922915,1.09977,1,3,0,11.3238,0.467313
-11.0264,1,1.09977,1,1,0,11.1864,0.51882
-11.4169,0.9409,1.09977,2,3,0,11.4626,0.676455
-12.1039,0.838015,1.09977,1,1,0,12.1334,0.737569
-15.0348,0.351033,1.09977,1,3,0,18.322,0.23073
-12.9836,1,1.09977,2,3,0,14.7541,0.318378
-11.0354,1,1.09977,1,3,0,12.47,0.515707
-10.9709,0.94742,1.09977,2,3,0,11.3085,0.57586
-11.2713,0.915089,1.09977,2,3,0,11.4873,0.657076
-11.3757,0.875192,1.09977,2,3,0,12.2515,0.671379
-11.036,0.970164,1.09977,1,3,0,11.5047,0.515511
-11.3087,0.840426,1.09977,2,3,0,11.9029,0.458993
-12.5995,0.680976,1.09977,1,1,0,12.6036,0.341166
-11.2111,1,1.09977,1,3,0,12.1831,0.474881
-10.965,1,1.09977,1,3,0,11.1661,0.562344
-10.965,0.837519,1.09977,1,3,0,11.5231,0.562344
-10.9855,0.967173,1.09977,2,3,0,11.1269,0.537319
-10.9664,0.996638,1.09977,2,3,0,11.005,0.55597
-10.9957,0.777282,1.09977,2,3,0,12.2057,0.531635
-11.194,0.954881,1.09977,1,3,0,11.1941,0.477975
-11.1829,0.854221,1.09977,2,3,0,12.0109,0.480065
-12.4107,0.838796,1.09977,2,3,0,12.4959,0.757139
-12.5721,0.964622,1.09977,1,1,0,12.9024,0.766324
-10.9716,0.97261,1.09977,1,3,0,12.4673,0.548287
-10.9716,0.93221,1.09977,1,3,0,11.2104,0.548287
-10.978,0.748815,1.09977,2,3,0,12.3985,0.542458
-10.978,0.857347,1.09977,1,3,0,11.4195,0.542458
-11.0141,0.973213,1.09977,2,3,0,11.1127,0.523436
-11.1307,0.98763,1.09977,2,3,0,11.1344,0.632669
-11.026,1,1.09977,1,1,0,11.1056,0.605422
-10.9895,0.853504,1.09977,2,3,0,11.8548,0.589779
-12.1065,0.722809,1.09977,1,3,0,12.3815,0.375864
-11.3941,1,1.09977,1,1,0,11.938,0.44692
-11.5177,0.963273,1.09977,1,1,0,11.6273,0.431498
-11.1666,1,1.09977,1,1,0,11.4315,0.4832
-11.0397,0.970839,1.09977,2,3,0,11.3571,0.609916
-10.9938,0.97916,1.09977,2,3,0,11.1736,0.592052
-10.9723,0.99584,1.09977,2,3,0,11.0164,0.547476
